OBSERVATION_DATETIME,mexico_city,reykjavik,anchorage,cape_horn,albuquerque,buenos_aires,vancouver,brasilia,nyc
2011-04-06,295.450012207,277.270019531,264.720001221,276.549987793,282.5,292.369995117,273.179992676,296.91998291,280.179992676
2011-04-07,296.100006104,278.070007324,269.150024414,279.100006104,282.950012207,290.779998779,275.029998779,296.16998291,278.5
2011-04-08,296.100006104,280.41998291,269.25,280.619995117,283.799987793,288.070007324,275.619995117,295.619995117,278.049987793
2011-04-09,295.770019531,277.720001221,270.150024414,278.150024414,275.049987793,289.66998291,276.369995117,295.720001221,281.020019531
2011-04-10,295.049987793,275.150024414,268.91998291,276.950012207,275.570007324,292.720001221,275.270019531,295.820007324,285.75
2011-04-11,291.720001221,275.900024414,266.350006104,275.5,282.470001221,293.75,273.91998291,297.0,287.570007324
2011-04-12,291.91998291,277.0,264.350006104,276.16998291,283.350006104,294.119995117,275.950012207,296.220001221,282.200012207
2011-04-13,293.970001221,276.470001221,265.75,277.619995117,281.369995117,290.720001221,273.520019531,296.91998291,283.820007324
2011-04-14,295.0,273.25,267.299987793,278.220001221,279.100006104,285.720001221,272.299987793,296.450012207,283.970001221
2011-04-15,291.529998779,276.470001221,268.369995117,278.650024414,282.350006104,285.900024414,274.119995117,296.770019531,280.16998291
2011-04-16,289.450012207,273.619995117,269.650024414,278.75,284.270019531,287.549987793,273.799987793,296.25,284.75
2011-04-17,291.270019531,275.619995117,268.929992676,278.600006104,288.570007324,284.720001221,274.200012207,295.799987793,284.950012207
2011-04-18,293.470001221,272.700012207,269.869995117,279.049987793,287.600006104,288.41998291,274.25,295.75,285.369995117
2011-04-19,293.869995117,276.150024414,270.5,276.900024414,287.0,288.66998291,273.970001221,295.75,284.720001221
2011-04-20,294.220001221,276.700012207,268.75,279.900024414,286.400024414,288.91998291,273.600006104,296.369995117,285.650024414
2011-04-21,294.16998291,278.220001221,270.270019531,279.700012207,286.41998291,290.029998779,274.679992676,296.119995117,280.25
2011-04-22,294.58001709,276.320007324,273.200012207,278.020019531,286.400024414,285.119995117,275.900024414,296.850006104,280.970001221
2011-04-23,294.58001709,276.320007324,272.600006104,277.320007324,283.41998291,285.320007324,279.66998291,297.100006104,288.41998291
2011-04-24,295.33001709,275.150024414,273.650024414,278.400024414,282.070007324,289.020019531,277.150024414,296.08001709,290.049987793
2011-04-25,296.520019531,277.049987793,272.429992676,279.100006104,282.869995117,289.779998779,275.970001221,296.350006104,289.900024414
