,AVG LAT,AVG LON,COMMON NAME,OBSERVATION COUNT,OBSERVATION_DATE,TEMPERATURE,TIME_DELTAS,VERTICES
46,31.7621808667,-110.8108185,Lazuli Bunting,3,2011-03-05,291.100006104,5471400.0,32.21*-110.91*1&31.54*-110.76*1&31.54*-110.76*1
47,26.2939832,-110.2284148,Lazuli Bunting,13,2011-03-06,293.020019531,5555100.0,23.70*-109.99*2&31.53*-110.78*9&23.65*-109.92*2
48,28.8897353,-109.190220233,Lazuli Bunting,3,2011-03-07,291.070007324,5639400.0,23.41*-105.93*1&31.72*-110.88*1&31.54*-110.76*1
49,19.5267705,-103.4555697,Lazuli Bunting,150,2011-03-08,294.91998291,5727600.0,19.53*-103.46*150
50,27.4405904333,-108.502529667,Lazuli Bunting,4,2011-03-09,297.850006104,5814000.0,19.18*-103.69*2&31.53*-110.78*1&31.61*-111.04*1
51,31.5316710333,-110.770211233,Lazuli Bunting,16,2011-03-10,295.25,5905200.0,31.53*-110.78*12&31.53*-110.78*3&31.54*-110.76*1
52,29.2718486,-109.8649226,Lazuli Bunting,4,2011-03-11,294.279998779,5990400.0,31.52*-110.79*2&27.03*-108.94*2
53,30.444687775,-110.4377187,Lazuli Bunting,14,2011-03-12,293.450012207,6073200.0,27.01*-108.91*4&31.61*-111.04*2&31.61*-111.04*6&31.54*-110.76*2
54,31.6128313,-111.040829,Lazuli Bunting,2,2011-03-14,293.320007324,6250500.0,31.61*-111.04*2
55,31.6128313,-111.040829,Lazuli Bunting,3,2011-03-15,295.529998779,6336600.0,31.61*-111.04*2&31.61*-111.04*1
56,31.5758369,-110.9009051,Lazuli Bunting,5,2011-03-16,296.25,6421800.0,31.61*-111.04*2&31.61*-111.04*1&31.54*-110.76*1&31.54*-110.76*1
57,30.47089675,-110.03826265,Lazuli Bunting,16,2011-03-17,295.41998291,6505200.0,27.00*-108.78*10&31.72*-110.19*3&31.61*-111.04*2&31.55*-110.14*1
58,30.0862657667,-110.3650718,Lazuli Bunting,10,2011-03-19,291.799987793,6678900.0,31.61*-111.04*1&31.61*-111.04*6&27.03*-109.01*3
59,31.6465636333,-110.8126785,Lazuli Bunting,3,2011-03-20,289.529998779,6765900.0,31.79*-110.64*1&31.61*-111.04*1&31.54*-110.76*1
60,31.5390131,-110.7606337,Lazuli Bunting,1,2011-03-21,284.619995117,6861600.0,31.54*-110.76*1
61,31.46441745,-110.4998595,Lazuli Bunting,2,2011-03-22,283.119995117,6937200.0,31.39*-110.24*1&31.54*-110.76*1
62,31.53350655,-110.76781685,Lazuli Bunting,2,2011-03-23,287.770019531,7030800.0,31.53*-110.78*1&31.54*-110.76*1
63,34.23142735,-113.624860275,Lazuli Bunting,7,2011-03-24,287.049987793,7117800.0,31.54*-110.76*4&31.55*-110.14*1&31.54*-110.76*1&42.30*-122.84*1
64,24.78541325,-105.11844275,Lazuli Bunting,2,2011-03-25,286.5,7194600.0,31.77*-110.66*1&17.80*-99.58*1
65,29.95962986,-110.2648131,Lazuli Bunting,16,2011-03-26,293.200012207,7281000.0,27.08*-109.29*5&32.21*-110.92*1&31.61*-111.04*2&31.79*-110.64*2&27.10*-109.43*6
66,31.6128313,-111.040829,Lazuli Bunting,1,2011-03-27,288.529998779,7371000.0,31.61*-111.04*1
67,31.71456166,-110.7808713,Lazuli Bunting,6,2011-03-28,291.600006104,7458000.0,31.76*-110.85*1&32.02*-110.64*1&31.54*-110.76*1&31.53*-110.78*2&31.73*-110.88*1
68,26.81601285,-108.0765461,Lazuli Bunting,2,2011-03-29,295.220001221,7534800.0,21.45*-105.15*1&32.18*-111.01*1
69,32.1058098,-112.390774267,Lazuli Bunting,6,2011-03-30,288.470001221,7626900.0,31.93*-110.05*1&31.74*-110.89*3&32.65*-116.23*2
70,31.34753175,-112.185784275,Lazuli Bunting,4,2011-03-31,297.619995117,7719000.0,27.00*-108.91*1&32.35*-111.09*1&33.69*-117.65*1&32.35*-111.09*1
71,31.5258643857,-110.657518086,Lazuli Bunting,8,2011-04-01,297.869995117,7800300.0,31.42*-110.10*2&31.61*-111.05*1&31.53*-110.78*1&31.54*-110.76*1&31.52*-110.39*1&31.53*-110.78*1&31.54*-110.76*1
72,33.0352976667,-113.486980967,Lazuli Bunting,6,2011-04-02,294.320007324,7886700.0,31.76*-110.85*4&34.06*-118.46*1&33.28*-111.16*1
73,31.6922871667,-110.7346377,Lazuli Bunting,12,2011-04-03,292.270019531,7971600.0,31.76*-110.85*2&31.41*-110.11*1&32.38*-111.16*1&31.54*-110.76*4&31.53*-110.78*3&31.54*-110.76*1
74,31.6367558,-110.422232337,Lazuli Bunting,23,2011-04-04,290.700012207,8060100.0,31.73*-110.88*2&31.42*-110.25*3&31.39*-110.24*1&31.81*-109.06*13&31.39*-110.24*1&31.47*-110.86*1&31.54*-110.76*1&32.35*-111.09*1
75,31.74316154,-110.29622626,Lazuli Bunting,9,2011-04-05,293.270019531,8145000.0,31.41*-110.11*1&32.00*-109.27*1&32.35*-111.09*2&31.42*-110.25*4&31.54*-110.76*1
76,33.0147807333,-114.383939067,Lazuli Bunting,18,2011-04-06,289.369995117,8230200.0,32.84*-114.93*2&33.51*-111.68*4&31.54*-110.76*7&34.16*-118.01*2&34.54*-120.07*1&31.50*-110.86*2
77,33.27414907,-113.47526619,Lazuli Bunting,14,2011-04-07,286.619995117,8316600.0,32.94*-115.01*4&32.28*-111.02*1&31.39*-110.24*1&42.27*-122.88*1&32.73*-114.64*2&31.74*-110.89*1&31.54*-110.76*1&32.51*-110.88*1&31.73*-110.88*1&33.62*-117.56*1
78,32.741681025,-112.906635925,Lazuli Bunting,6,2011-04-08,278.850006104,8404200.0,33.52*-112.29*1&32.28*-111.02*1&31.54*-110.76*3&33.62*-117.56*1
79,32.2929059571,-112.596525671,Lazuli Bunting,17,2011-04-09,277.450012207,8492400.0,31.42*-110.25*5&31.74*-110.89*1&34.61*-120.35*1&31.55*-110.14*1&31.73*-110.88*6&32.29*-111.06*1&32.72*-114.61*2
80,31.9597456727,-111.465701309,Lazuli Bunting,49,2011-04-10,283.320007324,8575200.0,31.91*-110.98*1&31.45*-110.31*1&31.74*-110.89*3&31.73*-110.88*4&31.67*-110.94*1&31.73*-110.88*1&31.73*-110.88*12&32.84*-117.04*1&31.54*-110.76*8&33.51*-111.68*3&31.73*-110.88*14
81,32.12648005,-111.759734713,Lazuli Bunting,31,2011-04-11,290.850006104,8667000.0,31.73*-110.88*18&32.35*-111.09*1&26.91*-108.91*2&32.28*-111.02*1&31.54*-110.76*3&31.73*-110.88*4&31.92*-109.13*1&38.56*-121.40*1
82,31.6873998308,-110.545522854,Lazuli Bunting,47,2011-04-12,289.970001221,8749800.0,31.41*-110.11*1&31.74*-110.89*1&31.45*-110.30*3&31.61*-111.04*2&31.39*-110.24*8&31.39*-110.24*2&33.28*-111.16*2&31.51*-110.80*3&31.54*-110.76*6&31.54*-110.76*15&31.54*-110.76*1&31.54*-110.76*1&32.00*-109.27*2
83,32.356661585,-111.97521212,Lazuli Bunting,80,2011-04-13,290.200012207,8834400.0,31.45*-110.96*1&37.08*-119.72*1&32.28*-111.02*2&31.74*-110.89*2&31.93*-110.05*1&31.88*-109.06*1&33.51*-111.68*1&31.73*-110.88*2&35.75*-119.18*2&31.72*-110.88*2&31.73*-110.88*8&31.38*-110.85*2&31.72*-110.88*1&31.54*-110.76*10&31.54*-110.76*12&31.73*-110.88*2&31.38*-110.85*15&31.73*-110.88*6&31.72*-110.88*8&33.62*-117.56*1
